mof_name,LCD,PLD,LFPD,ASA,AV_VF,AV_cm3g,has_NASA,OMS,Metal_enc,Topology_enc,lig1_length,Metal,Topology,energy_mean,n_h2o
ACODON,0.1369335079839718,-0.35844510673013885,0.1445510539033773,0.548963320892838,0.2813949892386785,0.059267101930715535,0.0,0,7,0,11.9885516647847,Other,Other,-0.636835079999931,1.0
ACOGAB,-0.787054659842851,-0.8557812873378747,-0.9718526840988949,0.25608089179977844,-0.1377209351755041,-0.1059419864030157,0.0,0,0,3,17.8039482451557,Cd,lvt,-0.9636508125000205,1.0
ACOGEF,-0.786890666022613,-0.8169533085925502,-0.9413816140762358,0.2571117438992753,-0.15999279589316578,-0.29187828450212255,0.0,0,0,3,17.8039482451557,Cd,lvt,-0.9329320599999278,1.0
ACOLIP,-0.9497052106885153,-1.0857593749360905,-1.0087691630383997,-0.2046281343398611,-0.27135209948147526,0.0483060683199416,0.0,0,8,2,7.53052594230738,Zn,dia,-0.9193831974999398,1.0
ACUBAB,-0.15053034977501065,-0.5795221295574651,-0.13896404860873313,0.030023726696090103,-0.4556011290548599,-1.3279170257064636,0.0,1,8,1,2.79481734975268,Zn,UNKNOWN,-0.9973875024999993,1.0
ACUTOI,-0.7918960502627906,-0.4310006837104103,-0.7786571229312705,-0.6099837690257697,-1.646133320144422,-1.2775737894674963,0.0,1,7,6,7.58552507263328,Other,pcu,-0.9925747216666801,1.0
ADABUE,-1.1632505449649224,-1.2878509087172705,-1.1473347325159646,-1.5818651047430232,-1.0063235031643174,-0.8513057348852892,0.0,1,2,1,10.449362625896,Cu,UNKNOWN,-0.7925899425000011,1.0
ADAXEK,-0.49076677550580783,-0.7106056755656597,-0.47481887057071215,0.1114730773065999,-0.6681961631779962,-0.4795114957825145,0.0,0,1,1,9.7644489903215,Co,UNKNOWN,-0.8302342949999186,1.0
ADAXIO,-0.5110741101817361,-0.1503022082556681,-0.4994587856939148,-0.09889133380517115,-0.7775307521556089,-0.5437115964692701,0.0,0,1,1,9.7644489903215,Co,UNKNOWN,-0.6183982160000824,0.9
ADIQEL,-1.234819523443737,-0.8415075825603315,-1.2201925746198294,-0.678436143567067,-1.0326447931033722,-0.5764513960402462,0.0,0,1,0,7.03461292489731,Co,Other,-0.44614611000002924,0.6666666666666666
ADOBAX,-0.6030612495704438,-0.9463592205477603,-0.6588421683584688,-1.4647269371878717,-1.0387189369354617,-1.0283538186991463,1.0,0,7,1,7.93288578630779,Other,UNKNOWN,-0.8224108249996789,1.0
ADOBOL,-0.6326985995794194,-0.8842104479315201,-0.6175515325667977,-1.5227660176275322,-1.176399530462826,-1.1347709100805485,1.0,0,7,1,7.93288578630779,Other,UNKNOWN,-0.3472031025004298,1.0
ADOCEC,-0.6791841796447415,-0.8985208360855873,-0.6636371652261474,-0.39594893419804145,-0.8079014713160568,-0.8595875915467411,1.0,1,7,1,7.93288578630779,Other,UNKNOWN,-0.921012017500118,1.0
ADODAA,1.1612161481192251,-0.20916014118205978,1.1772428895132572,0.8163595860757243,1.1682199887237608,0.6289008208678831,1.0,1,2,1,4.7205594969492,Cu,UNKNOWN,-0.748240062500173,1.0
ADODII,-0.38806479195570664,0.014435863305205387,-0.5450606797363619,-0.1666260616653468,-0.311846391695406,-0.2775244667841797,0.0,0,4,1,16.6,La,UNKNOWN,-0.6776297699999246,1.0
ADODOO,-0.4032167410275227,0.019697244052016862,-0.5507011966110009,-0.2202488894077921,-0.4515516998334672,-0.4378920296113982,0.0,0,7,1,16.6,Other,UNKNOWN,-0.804196774999923,1.0
ADODUU,-0.4085513650221439,0.007511907432791259,-0.5709707152161058,-0.22654135602886327,-0.4981201358794869,-0.49386983477448665,0.0,0,7,1,16.6,Other,UNKNOWN,-0.6397954474998073,1.0
ADUWIH,0.9277847281328377,0.6349741711546972,0.8481586246883338,0.8161323763107539,1.4132104566180415,1.7809625942180496,0.0,1,8,6,18.54,Zn,pcu,-0.8805950900000425,1.0
AFEJOK,-0.376983656355049,-0.08328797537474232,-0.36638225960556126,0.4667971592792386,0.10726953271877658,0.08918422784581342,0.0,1,2,0,7.93288578630779,Cu,Other,-1.0381158350000703,1.0
AFENEE,-1.1976488622936483,-1.2085489238936298,-1.2041904600639666,-0.6572970536996054,-0.8564946219727739,-0.5273988400350231,0.0,1,7,1,13.1520690821088,Other,UNKNOWN,-0.9454223237501083,1.0
AFIPAH,-1.2713048726543972,-0.8470712685918833,-1.2553942168087224,-0.5718593098127421,-0.6783197362314789,-1.0882609941379504,0.0,1,4,1,3.71323140540068,La,UNKNOWN,-1.1568027000000143,1.0
AFITEP,-1.108278796246515,-0.713622617577737,-1.0962512251596803,0.3490103518760532,-0.4454775560013772,-0.062257849685570965,0.0,0,8,2,14.1796807647937,Zn,dia,-1.0249367637499205,1.0
AFITUF,0.13558464777784415,-0.10672500219455933,0.1447805500044886,0.21052573259762158,-0.3847361176804811,-0.46452393363854794,0.0,1,8,6,14.1144937037875,Zn,pcu,-0.835537488749992,1.0
AFIXAO,-0.21970847267504123,-0.44108654092712773,-0.20458473995004808,0.1288146255967851,-4.034164813916984e-05,0.00683323941583978,0.0,0,1,0,4.32941689165369,Co,Other,-0.667694957500089,1.0
AFOTOF,0.7620339104949135,0.7343046172142795,0.7780416019861683,0.47345694973247165,0.447421587315794,0.27523112013424744,0.0,0,7,10,11.6445123098125,Other,tsy,-0.5890394375000483,1.0
AFOTUL,0.7651546274429935,0.7524731447038787,0.7793290478098371,0.5066492371932472,0.4433721580944014,0.30632063410144056,0.0,0,7,10,11.6445123098125,Other,tsy,-0.45077030749993696,1.0
AFOVAT,0.5973952601584486,0.6332264884201881,0.5989015998765834,0.4949158474700926,0.4028778658804707,0.33370353309503187,0.0,0,4,10,11.6445123098125,La,tsy,-0.35995323333323387,0.6666666666666666
AFOVEX,0.7696576473321718,0.7728286088767449,0.7856657026458412,0.4976414238257287,0.4939900233618148,0.4130379221347725,0.0,0,7,10,11.6445123098125,Other,tsy,-0.547183790000048,1.0
AFOVIB,0.7621169823081998,0.7202675977350123,0.7781246777638343,0.4826148000236389,0.40692729510186443,0.21593093929631157,0.0,0,7,10,11.6445123098125,Other,tsy,-0.4068757499999549,1.0
AFOVOH,0.7604309181635341,0.7664714386286122,0.7719022091422401,0.48851573164081263,0.5324596009650492,0.36662894824601866,0.0,0,7,10,11.6445123098125,Other,tsy,-0.577184935000048,1.0
AFOYIE,0.8618165459862925,1.4666127486213902,0.8759428849173353,0.8172302496897002,1.4152351712287377,1.6119582846974807,0.0,1,2,0,9.90563784425532,Cu,Other,-0.4097517574998904,1.0
AFOYOK,0.3743794028913656,0.23309763565317237,0.385859849041675,0.46032771682000245,0.18015925870385166,0.39160858918596114,0.0,0,2,10,9.24874273408276,Cu,tsy,-1.2704021724999564,1.0
AGABIU,1.8679596820201947,2.176652863270596,1.8840201508558316,0.604063722898043,1.7209670774439145,2.2866075306739218,1.0,1,7,1,9.63285992488556,Other,UNKNOWN,-0.5892860433332316,0.6666666666666666
AGARUW,-0.019359569026385717,0.4958988863521349,-0.004971830615538308,0.1592480299572182,-0.6540231609031197,-1.0290597303858124,0.0,0,4,1,6.94487590243711,La,UNKNOWN,-0.3258902500000147,1.0
AGONAM,-0.559082937816359,-0.20870060988875175,-0.5601400878225299,0.18675022959189677,-0.02231220236580197,-0.4980265156882028,0.0,0,0,8,8.21577336708274,Cd,sql,-0.5648899825000342,1.0
AGONEQ,-0.29905961854572755,0.3280617637400918,-0.2987794393472278,0.9671170689878268,1.0629348289675413,0.48562766042055827,0.0,0,0,0,7.48537294701376,Cd,Other,-0.7234171024999512,1.0
AHAMAY,-1.2305737248426027,-0.8452367061669388,-1.2157642000284241,-1.3800716308615186,-1.7129489022974076,-1.5929889257140433,0.0,1,8,1,5.07533874537252,Zn,UNKNOWN,-1.2609650324999506,1.0
AHOKIR,-1.1939917155349387,-1.160028289150235,-1.1780773701259826,-0.39987663896163045,-0.8281486174230223,-1.160654639217707,0.0,1,2,0,8.5257289161968,Cu,Other,-1.2137149924999733,1.0
AHOKIR01,-1.314568266380653,-1.1678779500064727,-1.29865967516453,-0.47995108396377084,-0.8443463343085944,-1.1961712042488337,0.0,1,2,0,7.93050251045723,Cu,Other,-1.1855089075000151,1.0
AHOKOX,-1.198623945197499,-1.111071308961901,-1.1827098208492928,0.17521087928918086,-0.5932817225822237,-0.9851174007835853,0.0,1,2,0,8.45370118851385,Cu,Other,-1.0556659425000205,1.0
AJOTEY,-0.41963334157824583,-0.042120583825700504,-0.4043688502856106,0.7293582539234297,0.6640660506603241,-0.0005844947830323913,0.0,1,7,1,2.8728309030917,Other,UNKNOWN,-0.8203459700000622,0.6666666666666666
AJOVEB,-0.8124599505587581,-0.23847576137150917,-0.8095622758242281,-0.7004963756172043,-1.5833671672128296,-1.4125051029077706,0.0,1,0,1,10.9394525830216,Cd,UNKNOWN,-1.2267731150000145,1.0
AKEDIF,-0.4033338953270018,0.019321698208083025,-0.38738181789195514,0.4980131461438414,0.12751667882574194,0.508550959350172,0.0,0,8,2,16.0229273061689,Zn,dia,-0.9608220937502097,1.0
AKOBAF,-0.9870577381757086,-0.9215908265294015,-0.9711335173971133,-0.3067642863626853,-0.7309623161095886,-0.325058891240009,0.0,1,0,2,17.6967126142987,Cd,dia,-1.0651147925001396,1.0
AKUKUO,-0.8717034454132419,-0.52686845265262,-0.8575229592041816,-0.20871983246919046,-0.7066657407812306,-0.5519888012770287,0.0,0,6,0,8.16961132093531,Ni,Other,-0.852406842499903,1.0
ALAMUW,1.7031073487797965,0.36595243378797804,1.719159950479512,1.0892166111251402,1.9315373969563545,2.3676953519445703,0.0,1,2,5,18.7080315964812,Cu,nbo,-0.755397725000023,1.0
ALEQIT,-0.4823469902704476,-0.8074269950435262,-0.4670833243390591,-0.9077230301394313,-1.3788709915324797,-1.3260955237052827,0.0,1,7,1,7.40672380304279,Other,UNKNOWN,-0.6640090350001628,1.0
ALIXAU,-0.2941402081296797,-0.8411719501114596,-0.27818291971847,-0.9246833616998871,-0.9881010716680483,-0.8082217250773263,1.0,1,2,0,4.73014803306511,Cu,Other,-0.8417236150001827,1.0
ALIXOJ,0.4227284138786436,-0.14389780938824057,0.4334934526153892,0.7808718533709101,0.7005109136528611,0.5997282089064061,0.0,1,6,0,11.5489750352647,Ni,Other,-0.7688369037499143,1.0
ALIXUP,-0.1951648918378126,0.2531295210138341,-0.1792028800948135,0.1832393887691294,-0.2126353757712755,-0.42787461404452926,0.0,1,2,0,10.5005101542661,Cu,Other,-1.2634849550001945,1.0
ALOLIY,0.019109388228824728,-0.08484173963747711,0.03367635661669402,-0.314807610675284,-0.336142967023764,-0.24500567806025425,0.0,1,5,0,10.7107389629204,Mn,Other,-1.3429846899997528,1.0
ALUJEX,-0.37958572931836837,-0.5032959099663407,-0.3910842027999469,0.11823603874512596,-0.34221711085585405,-0.5959013909019578,0.0,1,4,1,7.40672380304279,La,UNKNOWN,0.24453756499985957,1.0
ALUKIC,0.6746495123732177,0.7345477330068252,0.6849651795849078,1.3438375363524355,2.259541163889193,3.0168063722686873,0.0,1,7,6,13.7967371674857,Other,pcu,-0.31573005749987715,1.0
ALULAV,0.6697374246134592,0.7209643777740752,0.6831964455007972,1.3530001627013613,2.2494175908357104,2.8568327976929835,0.0,1,7,6,13.7967371674857,Other,pcu,-0.4866839350001442,1.0
ALULID,0.40540318410296367,-0.004020754910750978,0.4213938563483083,0.8675361294294485,0.9616990984327145,0.8424235946044899,0.0,1,7,1,12.8206907447286,Other,UNKNOWN,-0.712612542499869,1.0
AMAFOK,-0.09596911901056744,0.20500075318127287,-0.08000237341508157,-0.5194115347635667,-1.3262284116543699,-0.9841458383545958,0.0,1,2,5,6.12361016561024,Cu,nbo,-0.7217703730000125,1.0
AMAGAX,0.047767029933772624,0.4208252110740425,0.06374063495186019,-0.3660377981677066,-1.1176828067526268,-0.8806220234304614,0.0,1,2,5,6.12361016561024,Cu,nbo,-0.955937244999916,1.0
AMILUE,1.56048650213994,2.247159801069786,1.576532297641868,0.04846519275193954,0.4271744412088298,0.48431827139762434,0.0,1,8,1,9.73623952455435,Zn,UNKNOWN,-0.824469156666756,1.0
AMIMEP,1.511298728106025,2.190430117420911,1.5273421762532242,0.056975614103832284,0.3279634252846993,0.4353219320587858,0.0,1,8,1,9.73623952455435,Zn,UNKNOWN,-0.8337710883334353,1.0
AMIWID,-0.9815938384225863,-1.2956392880667846,-0.9720731044399618,-11.055725599299949,-1.3748215623110864,-1.4848410156766534,1.0,1,7,1,7.48537294701376,Other,UNKNOWN,-1.2712442600001168,1.0
AMIWOJ,-0.952281335208572,-1.245992194561863,-0.9484653429007761,-0.9583253275194508,-1.4011428522501415,-1.5017201226240409,0.0,1,7,1,7.48537294701376,Other,UNKNOWN,-1.091569452500039,1.0
AMIWUP,-0.9529242371738723,-1.2327865155533322,-0.948021815935613,-0.9473054916622026,-1.3586238454255144,-1.5051055668168722,0.0,1,7,1,7.48537294701376,Other,UNKNOWN,-1.1566303750001907,1.0
AMIXAW,-0.9596763275824775,-1.242438472834464,-1.009244168832616,-0.9384827838889929,-1.443661859074769,-1.5447500138047812,0.0,1,7,1,7.48537294701376,Other,UNKNOWN,-1.300802947499733,1.0
AMIZIG,-0.17462851785842867,0.27928826973395204,-0.16535727645565576,-0.8587520669613027,-1.4720078636245202,-0.9426899328776828,0.0,1,7,6,7.3411556581163,Other,pcu,-1.5088583987499649,1.0
AMOYOR,-0.996650983141524,-0.46059010127492583,-0.9857905294522801,-0.7316105261205563,-1.1197075213633232,-0.508106500396814,0.0,0,8,2,16.0229273061689,Zn,dia,-0.9825879275001057,1.0
AMUFOF,-0.8349341757963448,-0.5403263368859105,-0.827307611360842,-0.31980637624822944,-0.7836048959876983,-0.6321973704221805,0.0,1,1,1,6.79416950592085,Co,UNKNOWN,-1.0149430900000027,1.0
AMUWUB,1.2780945164884112,1.4936634503992985,1.294126835589426,0.2541366921940948,0.8057960734090817,0.8242986638098514,0.0,1,2,1,7.39799345019184,Cu,UNKNOWN,-0.7879325737499414,1.0
AMUXAI,0.7096659545336886,1.159241065946499,0.703235446488643,0.22255041075559887,0.26519727235310686,0.31765718951029565,1.0,1,2,1,7.39799345019184,Cu,UNKNOWN,-0.7703010806249679,1.0
ANENEN,-0.36898160562549487,-0.6349371914103447,-0.35802356523189666,-0.5881697697212155,-0.9131866310722768,-0.6504313815078504,0.0,1,4,1,13.4651277931719,La,UNKNOWN,-0.9508820674998475,1.0
ANENIR,-0.3053422389174935,-0.6031294699641896,-0.3366754720119811,-0.682559353361037,-1.0306200784926758,-0.7003557175136568,0.0,1,4,1,11.0343035175319,La,UNKNOWN,-0.8859511924999595,1.0
ANOMUM,0.19707921539247406,-0.16234918223891556,0.1937772558049893,1.1176057244643969,1.265406290037195,1.2743591921779316,0.0,1,2,0,18.8981944193255,Cu,Other,-0.7249040874999935,1.0
ANONAT,0.4012322273774813,0.31740820818072957,0.4172227005750913,0.9997603911577468,1.241109714708836,1.383930385291061,0.0,1,2,0,18.8981944193255,Cu,Other,-0.7349163475000751,1.0
ANUGIA,2.173966974608373,0.7278934168875635,2.1900420468221755,0.9965125318824236,2.2737141661640683,3.0164552172890318,0.0,1,2,0,14.5740758152965,Cu,Other,-0.5467976324999881,1.0
ANUGOG,1.5593567775547144,0.8710644842505374,1.5754025191435634,1.1044579687007179,2.2230963008966547,2.8840740466355137,0.0,1,2,1,14.5740758152965,Cu,UNKNOWN,-0.8303861475000645,1.0
APACAX,-0.5482546305735664,-0.7299925312265143,-0.5382299072478457,0.5901923937125569,0.5689044639575862,0.47826689618409757,1.0,1,8,1,11.7118467518117,Zn,UNKNOWN,-0.6566596474999642,1.0
APARAM,1.7224985419434653,2.2444521232535664,1.7385520690359204,-0.2643849365493213,0.3178398522312166,0.48324022214146506,1.0,0,5,0,11.7746763922146,Mn,Other,-0.530708049999987,1.0
APAYOH,-0.3131667672954431,-0.5648841642272666,-0.29721038687579243,0.9137861122068045,0.380606005162809,0.17126461312807564,0.0,1,7,1,15.2102782753687,Other,UNKNOWN,-0.5826703199998065,1.0
APAYUN,-0.3644519423221758,-0.7098653134446902,-0.3498447505271206,0.8259252550143301,0.5101877402473876,0.3614310263593478,0.0,1,4,1,15.2102782753687,La,UNKNOWN,-0.8224456225001404,1.0
APAZIC,0.1225847991619455,-0.23499833968675862,0.13856197465761314,0.9112801184603385,0.862488082508584,0.9093899226174533,0.0,1,4,1,19.4524791049338,La,UNKNOWN,-0.9159006574999466,1.0
APAZOI,-0.1941321297774173,-0.5929410622894151,-0.18683707433535202,0.8115432189980383,0.3279634252846993,0.08165628204520435,0.0,1,4,1,11.2454509911901,La,UNKNOWN,-0.888534659999948,1.0
APEBED,-1.1434385059805088,-1.0473840357642628,-1.1425063377962037,-1.4403396908967805,-0.8848406265225252,-0.9942090649275196,0.0,1,8,1,7.16287984697149,Zn,UNKNOWN,-0.8414399187498987,1.0
APEBEE,-0.6760507687340077,-0.7388107976809983,-0.6962755998668522,-0.028902734494749286,-0.5791087203073484,-0.5147777630225172,0.0,1,0,1,8.725,Cd,UNKNOWN,-1.0031609958334589,1.0
AQEQES,-0.5320615399969763,0.05367967597628753,-0.5346998570602945,0.5603958951329214,0.3542847152237536,0.23660840456272136,0.0,0,1,0,7.48537294701376,Co,Other,-0.546593398750133,1.0
AQEQIW,-0.2309358955809951,-0.08145465210253436,-0.2657924967610435,0.5446859225775524,0.5061383110259938,0.24077993373967588,0.0,0,8,0,7.48537294701376,Zn,Other,-0.7856558549999306,1.0
AQIQAU,0.3245708019635,0.5226121367314488,0.33453838935437774,0.7488327073855231,0.8888093724476395,1.0211994915685858,0.0,1,0,0,14.4889189541816,Cd,Other,-1.203534999999988,1.0
AQOLEZ,2.544502376356155,1.8671061874803556,2.5605951313792445,0.07860999645915481,1.5144461871528683,1.5924840966394125,1.0,1,1,0,9.26862097693699,Co,Other,-0.1919007449999412,1.0
AQOTIK,-0.017281093118906226,-0.8729573234787938,-0.0018290274167703053,0.09078879830915527,-0.09115249912948331,-0.5644056877776845,0.0,1,7,8,1.1471687131167,Other,sql,-0.7810508137499923,1.0
AQUCOF,0.9598299309403829,0.16953129603142253,0.9758470617167664,0.7400210027437949,1.1358245549526165,0.6084174122954593,0.0,1,2,1,6.17056556908628,Cu,UNKNOWN,-0.7369680525000035,1.0
AQUCOG,1.5659219671139206,2.1098800242480107,1.5819188689954344,0.4048799886595488,0.8969082308904258,0.18084428441041253,0.0,1,6,1,7.57205830804687,Ni,UNKNOWN,-0.6723978874999545,1.0
AQUCUM,1.5934595895157844,2.1463299219344845,1.6094582032504094,0.40711772369721994,0.9293036646615701,0.19374273006648163,0.0,1,6,1,7.57205830804687,Ni,UNKNOWN,-0.5996944037501066,1.0
AQUDAS,0.960659183406007,0.1849966819503669,0.613616749749543,0.7451665641926509,1.0629348289675413,0.5876883190087479,0.0,1,2,1,6.17056556908628,Cu,UNKNOWN,-0.9939249174999246,1.0
AQUDAT,-1.5296060382465948,-1.1680932617996729,-1.5137077091319917,-2.5900989022100296,-1.808110489000145,-1.280251778811778,0.0,1,2,1,10.449362625896,Cu,UNKNOWN,-1.0655414291666905,1.0
AQUDEX,-1.5008935957339369,-1.1513087187909508,-1.4849938963949432,-2.4863876427138014,-1.7696409113969112,-1.2621301407712857,0.0,1,2,1,10.449362625896,Cu,UNKNOWN,-1.0368922775000253,1.0
AQUDIB,1.5513449072658585,2.093549826303311,1.5673902665096637,0.4058168772234281,0.8989329455011221,0.1820700296789894,0.0,1,6,1,7.57205830804687,Ni,UNKNOWN,-0.7701168274999759,1.0
AQUDOH,-1.4948595292280171,-1.167585762723512,-1.4789595419293662,-2.484132156532508,-1.7534431945113385,-1.2472916331438275,0.0,1,2,1,10.449362625896,Cu,UNKNOWN,-0.940669562499958,1.0
ARAFEF,0.7972463327522448,1.4697796001046617,0.8132557046620086,0.663374505367368,1.2309861416553531,1.2458279049957004,0.0,1,2,0,10.0244823862015,Cu,Other,-0.6650544224999635,1.0
ARAFIJ,0.2624914424031432,0.8279717586970271,0.2784752945685131,0.5640872385466741,0.8462903656230124,0.7510655644800731,0.0,1,2,0,10.0244823862015,Cu,Other,-0.23549920749997,1.0
ARAFOP,-0.5410989892261422,-0.1299818940403174,-0.5251534862610931,0.15838142850810435,-0.00813920009092554,-0.08375149795741414,0.0,1,2,0,10.0244823862015,Cu,Other,-1.705604495000074,1.0
ARAGOR,-0.3672665754372684,-0.8149543376697783,-0.3513127767860138,0.25024099173507497,0.022231519069522507,-0.04952151112119176,0.0,1,7,1,7.16287984697149,Other,UNKNOWN,-0.6362802850002254,0.5
ARINOF,-1.0980472634061769,-1.1126902538681873,-1.0821283393053032,-0.7032704918480274,-1.0184717908284964,-0.4543314784101848,0.0,0,2,2,11.6624617491356,Cu,dia,-0.2742681933331899,0.6666666666666666
ARINUL,-1.0484990347867422,-0.8409901628897734,-1.0378019550431425,-1.0653362724643671,-0.7593083206593403,-0.29265689757448254,0.0,0,2,2,11.5871361989622,Cu,dia,-0.9297782366666828,0.8333333333333334
AROFAP,-0.2899029434387256,-0.5775788818827395,-0.2739454528154112,0.25334310859316844,0.0485528090085768,-0.06504278174272575,0.0,1,0,1,16.8217599895873,Cd,UNKNOWN,-0.829613360000053,1.0
AROFET,0.5817746655369338,-0.06657761210336287,0.5490920328222089,0.9423606092464342,1.1965659932735124,1.1681906549479029,0.0,1,0,0,16.8217599895873,Cd,Other,-0.8138632824999377,1.0
ARUYES,-0.691481127204888,-0.40395954249821325,-0.6784831984562947,0.1720176319615666,-0.546713286536204,-0.7151450467903085,0.0,1,7,1,7.40672380304279,Other,UNKNOWN,-1.09115845999996,1.0
ARUYOB,-1.094825179053717,-1.26745538269244,-1.081079877379945,-0.054572294564150886,0.15788739798619,-0.7605776874815469,0.0,1,8,1,2.72565586763851,Zn,UNKNOWN,0.20219198500006996,0.5
ARUYUH,-1.1190657980588916,-0.8889077857361477,-1.1156336288333015,0.1054939162306303,0.22875240936056876,-0.6966037722448895,0.0,0,8,1,2.72565586763851,Zn,UNKNOWN,-1.5419020624999007,1.0
ARUYUH01,-0.932440143937778,-0.7020272672281167,-0.9197789650598214,0.332066809279646,0.39680372204838177,-0.6450874312359757,0.0,0,8,1,2.72565586763851,Zn,UNKNOWN,-1.65553371499999,1.0
ASACON,-0.17850930931859854,-0.10759465363278603,-0.1660751971465983,-0.32162881232913026,-1.1885478181270055,-1.1858000504451343,0.0,1,8,1,7.3737144981859,Zn,UNKNOWN,-0.6346459500002766,1.0
ASADAA,-0.4908619490140057,-0.38456576050085,-0.4749140486208107,0.03251947830643179,-0.564935718032473,-0.7678337407729855,0.0,0,0,1,7.3737144981859,Cd,UNKNOWN,-0.8753746479999108,1.0
ASEJOZ,-1.4279555588693558,-1.017276420138083,-1.4143119207132062,-1.1612255337217066,-0.7046410261705331,-1.0308046705787501,0.0,1,0,1,8.37400611923521,Cd,UNKNOWN,-1.7865742425000235,1.0
ASEJOZ01,-1.4168125740738375,-1.0212013854446582,-1.4009088621933599,-1.1777680369490107,-0.6499737316817271,-1.008775269278058,0.0,1,0,1,8.37400611923521,Cd,UNKNOWN,-1.4665629137500389,1.0
ASEKAM,-0.3808317487768283,-0.14966180265654336,-0.3648785974871266,0.22409130513460931,-0.006114485480229229,-0.808192483653527,0.0,1,0,1,8.37400611923521,Cd,UNKNOWN,-0.9011370000000909,1.0
ASINAT,1.0829367421361222,1.1352082651705633,1.0929779214164286,0.6650864063316148,1.0588853997461476,1.5977481655567787,0.0,1,8,8,19.6674052974134,Zn,sql,-0.9619278625000902,1.0
ASIQEA,0.7818888978397969,0.4984801537463623,0.791325136852389,0.34548879390384035,0.5365090301864418,0.7467690698030077,0.0,1,2,3,10.5980464831013,Cu,lvt,-0.9473982175002221,1.0
ASIQIE,0.8335984142581436,0.4976373108345223,0.8487180391023599,0.3443097495028232,0.4555204457585804,0.7390619741643126,0.0,1,2,3,10.5980464831013,Cu,lvt,-1.2250679650001075,1.0
ASOHUL,-0.11399305330566364,0.5088283576406346,-0.09997306236009013,0.4415949229706232,0.4555204457585804,0.3581384801041086,0.0,0,7,7,7.27,Other,rna,-0.5615836887500762,1.0
ASOSUY,0.833296774719625,-0.562568755681034,0.7794259325504717,0.9850166040859099,1.0447123974712722,0.9727099641278675,0.0,1,7,0,11.7621243539203,Other,Other,-1.2938678512500417,1.0
ASOVEL,-0.5113210380179558,0.01969180165174537,-0.50315435713941,-0.3831066534555663,-0.7613330352700366,-0.12021841076057657,0.0,1,7,0,16.1244606285383,Other,Other,-1.4135942250001108,1.0
ASUWUI,0.1440976105023563,-0.31147546370319157,0.13751258797967136,-0.17512319633535192,-0.323994679359585,-0.16934634342761004,0.0,1,8,8,14.4889189541816,Zn,sql,-0.7735221237500127,1.0
