name,natoms
BUKYAJ_0.08_1_w_CO2_5,146
DIXKOL_0.06_0_w_CO2_1,262
DIXKOL_0.06_0_w_CO2_2,262
DIXKOL_0.06_0_w_CO2_3,262
DIXKOL_0.06_0_w_CO2_4,262
ACAJIZ_0.04_0_w_CO2_random_1,446
ACAJIZ_0.04_0_w_CO2_random_2,446
ASADAA_0.06_1_w_CO2_random_1,340
ASADAA_0.06_1_w_CO2_random_2,340
BUKYAJ_0.08_1_w_CO2_random_1,146
BUKYAJ_0.08_1_w_CO2_random_2,146
DIXKOL_0.06_0_w_CO2_random_1,262
DIXKOL_0.06_0_w_CO2_random_2,262
ACAJIZ_0.04_0_w_CO2_H2O_1,449
ACAJIZ_0.04_0_w_CO2_H2O_2,449
ACAJIZ_0.04_0_w_CO2_H2O_3,449
ACAJIZ_0.04_0_w_CO2_H2O_4,449
ASADAA_0.06_1_w_CO2_H2O_1,343
ASADAA_0.06_1_w_CO2_H2O_2,343
ASADAA_0.06_1_w_CO2_H2O_3,343
ASADAA_0.06_1_w_CO2_H2O_4,343
ASADAA_0.06_1_w_CO2_H2O_5,343
ASADAA_0.06_1_w_CO2_H2O_6,343
BUKYAJ_0.08_1_w_CO2_H2O_1,149
BUKYAJ_0.08_1_w_CO2_H2O_2,149
BUKYAJ_0.08_1_w_CO2_H2O_3,149
BUKYAJ_0.08_1_w_CO2_H2O_4,149
BUKYAJ_0.08_1_w_CO2_H2O_5,149
DIXKOL_0.06_0_w_CO2_H2O_1,265
DIXKOL_0.06_0_w_CO2_H2O_2,265
DIXKOL_0.06_0_w_CO2_H2O_3,265
DIXKOL_0.06_0_w_CO2_H2O_4,265
DIXKOL_0.06_0_w_CO2_H2O_5,265
ACAJIZ_0.04_0_w_CO2_H2O_random_1,449
ACAJIZ_0.04_0_w_CO2_H2O_random_2,449
ASADAA_0.06_1_w_CO2_H2O_random_1,343
ASADAA_0.06_1_w_CO2_H2O_random_2,343
DIXKOL_0.06_0_w_CO2_H2O_random_1,265
ACAJIZ_0.04_0_w_H2O_1,446
ACAJIZ_0.04_0_w_H2O_2,446
ASADAA_0.06_1_w_H2O_1,340
ASADAA_0.06_1_w_H2O_2,340
ASADAA_0.06_1_w_H2O_3,340
BUKYAJ_0.08_1_w_H2O_1,146
BUKYAJ_0.08_1_w_H2O_2,146
BUKYAJ_0.08_1_w_H2O_3,146
DIXKOL_0.06_0_w_H2O_1,262
DIXKOL_0.06_0_w_H2O_2,262
DIXKOL_0.06_0_w_H2O_3,262
ACAJIZ_0.04_0_w_H2O_random_1,446
ACAJIZ_0.04_0_w_H2O_random_2,446
ASADAA_0.06_1_w_H2O_random_1,340
ASADAA_0.06_1_w_H2O_random_2,340
BUKYAJ_0.08_1_w_H2O_random_1,146
BUKYAJ_0.08_1_w_H2O_random_2,146
DIXKOL_0.06_0_w_H2O_random_1,262
DIXKOL_0.06_0_w_H2O_random_2,262
ALAMUW_w_CO2_1,153
ALAMUW_w_CO2_2,153
ALAMUW_w_CO2_3,153
ALAMUW_w_CO2_4,153
ALAMUW_w_CO2_random_1,153
ALAMUW_w_CO2_random_2,153
ALAMUW_w_CO2_2H2O_1,159
ALAMUW_w_CO2_2H2O_2,159
ALAMUW_w_CO2_2H2O_3,159
ALAMUW_w_CO2_2H2O_4,159
ALAMUW_w_CO2_2H2O_5,159
ALAMUW_w_CO2_2H2O_6,159
ALAMUW_w_CO2_2H2O_7,159
ALAMUW_w_CO2_H2O_1,156
ALAMUW_w_CO2_H2O_2,156
ALAMUW_w_CO2_H2O_3,156
ALAMUW_w_CO2_H2O_4,156
ALAMUW_w_CO2_H2O_5,156
ALAMUW_w_CO2_H2O_6,156
ALAMUW_w_CO2_H2O_7,156
ALAMUW_w_CO2_H2O_random_1,156
ALAMUW_w_CO2_H2O_random_2,156
ALAMUW_w_H2O_1,153
ALAMUW_w_H2O_2,153
ALAMUW_w_H2O_3,153
ALAMUW_w_H2O_random_1,153
ALAMUW_w_H2O_random_2,153
AMILUE_0.08_0_w_CO2_2H2O_1,261
AMILUE_0.08_0_w_CO2_2H2O_2,261
AMILUE_0.08_0_w_CO2_2H2O_3,261
AMILUE_0.08_0_w_CO2_2H2O_4,261
AMILUE_0.08_0_w_CO2_2H2O_5,261
AMILUE_0.08_0_w_CO2_2H2O_6,261
AMILUE_0.08_0_w_CO2_2H2O_7,261
AMILUE_0.08_0_w_CO2_2H2O_8,261
AMILUE_0.08_0_w_CO2_2H2O_9,261
BEPNIV_0.16_0_w_CO2_2H2O_1,140
BEPNIV_0.16_0_w_CO2_2H2O_2,140
BEPNIV_0.16_0_w_CO2_2H2O_3,140
BEPNIV_0.16_0_w_CO2_2H2O_4,140
BEPNIV_0.16_0_w_CO2_2H2O_5,140
CAXVUU_0.08_0_w_CO2_2H2O_2,224
CAXVUU_0.08_0_w_CO2_2H2O_3,224
CAXVUU_0.08_0_w_CO2_2H2O_4,224
CAXVUU_0.08_0_w_CO2_2H2O_5,224
CAXVUU_0.08_0_w_CO2_2H2O_6,224
BEPNIV_0.16_0_w_CO2_2H2O_random_1,140
BEPNIV_0.16_0_w_CO2_2H2O_random_2,140
AMILUE_0.08_0_w_CO2_1,255
AMILUE_0.08_0_w_CO2_2,255
AMILUE_0.08_0_w_CO2_3,255
AMILUE_0.08_0_w_CO2_4,255
AMILUE_0.08_0_w_CO2_5,255
BEPNIV_0.16_0_w_CO2_1,134
BEPNIV_0.16_0_w_CO2_2,134
BEPNIV_0.16_0_w_CO2_3,134
BEPNIV_0.16_0_w_CO2_4,134
CAXVUU_0.08_0_w_CO2_1,218
CAXVUU_0.08_0_w_CO2_2,218
CAXVUU_0.08_0_w_CO2_3,218
AMILUE_0.08_0_w_CO2_random_1,255
AMILUE_0.08_0_w_CO2_random_2,255
BEPNIV_0.16_0_w_CO2_random_1,134
BEPNIV_0.16_0_w_CO2_random_2,134
CAXVUU_0.08_0_w_CO2_random_1,218
CAXVUU_0.08_0_w_CO2_random_2,218
AMILUE_0.08_0_w_CO2_H2O_1,258
AMILUE_0.08_0_w_CO2_H2O_2,258
AMILUE_0.08_0_w_CO2_H2O_3,258
AMILUE_0.08_0_w_CO2_H2O_4,258
AMILUE_0.08_0_w_CO2_H2O_5,258
AMILUE_0.08_0_w_CO2_H2O_6,258
AMILUE_0.08_0_w_CO2_H2O_7,258
AMILUE_0.08_0_w_CO2_H2O_8,258
BEPNIV_0.16_0_w_CO2_H2O_1,137
BEPNIV_0.16_0_w_CO2_H2O_2,137
BEPNIV_0.16_0_w_CO2_H2O_3,137
BEPNIV_0.16_0_w_CO2_H2O_4,137
BEPNIV_0.16_0_w_CO2_H2O_5,137
CAXVUU_0.08_0_w_CO2_H2O_1,221
CAXVUU_0.08_0_w_CO2_H2O_2,221
CAXVUU_0.08_0_w_CO2_H2O_4,221
CAXVUU_0.08_0_w_CO2_H2O_5,221
AMILUE_0.08_0_w_CO2_H2O_random_1,258
AMILUE_0.08_0_w_CO2_H2O_random_2,258
BEPNIV_0.16_0_w_CO2_H2O_random_1,137
BEPNIV_0.16_0_w_CO2_H2O_random_2,137
CAXVUU_0.08_0_w_CO2_H2O_random_1,221
CAXVUU_0.08_0_w_CO2_H2O_random_2,221
AMILUE_0.08_0_w_H2O_1,255
AMILUE_0.08_0_w_H2O_2,255
AMILUE_0.08_0_w_H2O_3,255
BEPNIV_0.16_0_w_H2O_1,134
BEPNIV_0.16_0_w_H2O_2,134
CAXVUU_0.08_0_w_H2O_1,218
CAXVUU_0.08_0_w_H2O_2,218
AMILUE_0.08_0_w_H2O_random_1,255
AMILUE_0.08_0_w_H2O_random_2,255
BEPNIV_0.16_0_w_H2O_random_1,134
BEPNIV_0.16_0_w_H2O_random_2,134
CAXVUU_0.08_0_w_H2O_random_1,218
CADQOP_w_CO2_1,55
CADQOP_w_CO2_2,55
CADQOP_w_CO2_3,55
CADQOP_w_CO2_4,55
CEJCAW_w_CO2_1,120
CEJCAW_w_CO2_2,120
CEJCAW_w_CO2_3,120
CEJCAW_w_CO2_4,120
CEJCAW_w_CO2_5,120
DOZKIO_w_CO2_1,87
DOZKIO_w_CO2_2,87
DOZKIO_w_CO2_3,87
DOZKIO_w_CO2_4,87
DUBKAO_w_CO2_1,283
CADQOP_w_CO2_random_1,55
CADQOP_w_CO2_random_2,55
CEJCAW_w_CO2_random_1,120
CEJCAW_w_CO2_random_2,120
DOZKIO_w_CO2_random_1,87
DOZKIO_w_CO2_random_2,87
CADQOP_w_CO2_2H2O_1,61
CADQOP_w_CO2_2H2O_2,61
CADQOP_w_CO2_2H2O_3,61
CADQOP_w_CO2_2H2O_4,61
CADQOP_w_CO2_2H2O_5,61
CADQOP_w_CO2_2H2O_6,61
CADQOP_w_CO2_2H2O_7,61
CEJCAW_w_CO2_2H2O_1,126
CEJCAW_w_CO2_2H2O_2,126
CEJCAW_w_CO2_2H2O_3,126
CEJCAW_w_CO2_2H2O_4,126
CEJCAW_w_CO2_2H2O_5,126
CEJCAW_w_CO2_2H2O_6,126
DOZKIO_w_CO2_2H2O_1,93
DOZKIO_w_CO2_2H2O_2,93
DOZKIO_w_CO2_2H2O_3,93
DOZKIO_w_CO2_2H2O_4,93
CADQOP_w_CO2_2H2O_random_1,61
CADQOP_w_CO2_2H2O_random_2,61
CEJCAW_w_CO2_2H2O_random_1,126
CEJCAW_w_CO2_2H2O_random_2,126
CADQOP_w_CO2_H2O_1,58
CADQOP_w_CO2_H2O_2,58
CADQOP_w_CO2_H2O_3,58
CADQOP_w_CO2_H2O_4,58
CADQOP_w_CO2_H2O_5,58
CEJCAW_w_CO2_H2O_1,123
CEJCAW_w_CO2_H2O_2,123
CEJCAW_w_CO2_H2O_3,123
CEJCAW_w_CO2_H2O_4,123
CEJCAW_w_CO2_H2O_5,123
DOZKIO_w_CO2_H2O_3,90
DOZKIO_w_CO2_H2O_4,90
DOZKIO_w_CO2_H2O_5,90
CADQOP_w_CO2_H2O_random_1,58
CADQOP_w_CO2_H2O_random_2,58
CEJCAW_w_CO2_H2O_random_1,123
CEJCAW_w_CO2_H2O_random_2,123
DOZKIO_w_CO2_H2O_random_1,90
CADQOP_w_H2O_1,55
CADQOP_w_H2O_2,55
CEJCAW_w_H2O_1,120
CEJCAW_w_H2O_2,120
CEJCAW_w_H2O_3,120
DOZKIO_w_H2O_2,87
DOZKIO_w_H2O_3,87
CADQOP_w_H2O_random_1,55
CADQOP_w_H2O_random_2,55
CEJCAW_w_H2O_random_1,120
CEJCAW_w_H2O_random_2,120
DOZKIO_w_H2O_random_1,87
DOZKIO_w_H2O_random_2,87
DUBKAO_w_H2O_random_2,283
BUVYIB_0.08_0_w_CO2_2H2O_1,297
BUVYIB_0.08_0_w_CO2_2H2O_2,297
BUVYIB_0.08_0_w_CO2_2H2O_3,297
BUVYIB_0.08_0_w_CO2_2H2O_4,297
BUVYIB_0.08_0_w_CO2_2H2O_9,297
COQGAS_0.08_0_w_CO2_2H2O_1,345
COQGAS_0.08_0_w_CO2_2H2O_2,345
COQGAS_0.08_0_w_CO2_2H2O_3,345
COQGAS_0.08_0_w_CO2_2H2O_4,345
COQGAS_0.08_0_w_CO2_2H2O_5,345
DAGJED_0.12_0_w_CO2_2H2O_1,312
DAGJED_0.12_0_w_CO2_2H2O_2,312
DAGJED_0.12_0_w_CO2_2H2O_3,312
DAGJED_0.12_0_w_CO2_2H2O_4,312
DAGJED_0.12_0_w_CO2_2H2O_5,312
COQGAS_0.08_0_w_CO2_2H2O_random_1,345
COQGAS_0.08_0_w_CO2_2H2O_random_2,345
DAGJED_0.12_0_w_CO2_2H2O_random_1,312
DAGJED_0.12_0_w_CO2_2H2O_random_2,312
BUVYIB_0.08_0_w_CO2_1,291
BUVYIB_0.08_0_w_CO2_2,291
BUVYIB_0.08_0_w_CO2_3,291
BUVYIB_0.08_0_w_CO2_4,291
BUVYIB_0.08_0_w_CO2_5,291
COQGAS_0.08_0_w_CO2_1,339
COQGAS_0.08_0_w_CO2_2,339
COQGAS_0.08_0_w_CO2_3,339
DAGJED_0.12_0_w_CO2_1,306
DAGJED_0.12_0_w_CO2_2,306
DAGJED_0.12_0_w_CO2_3,306
DAGJED_0.12_0_w_CO2_4,306
DAGJED_0.12_0_w_CO2_5,306
DAGJED_0.12_0_w_CO2_6,306
BUVYIB_0.08_0_w_CO2_random_1,291
BUVYIB_0.08_0_w_CO2_random_2,291
COQGAS_0.08_0_w_CO2_random_1,339
COQGAS_0.08_0_w_CO2_random_2,339
DAGJED_0.12_0_w_CO2_random_1,306
DAGJED_0.12_0_w_CO2_random_2,306
BUVYIB_0.08_0_w_CO2_H2O_2,294
BUVYIB_0.08_0_w_CO2_H2O_3,294
BUVYIB_0.08_0_w_CO2_H2O_5,294
BUVYIB_0.08_0_w_CO2_H2O_6,294
BUVYIB_0.08_0_w_CO2_H2O_7,294
COQGAS_0.08_0_w_CO2_H2O_1,342
COQGAS_0.08_0_w_CO2_H2O_2,342
COQGAS_0.08_0_w_CO2_H2O_3,342
COQGAS_0.08_0_w_CO2_H2O_4,342
COQGAS_0.08_0_w_CO2_H2O_5,342
DAGJED_0.12_0_w_CO2_H2O_1,309
DAGJED_0.12_0_w_CO2_H2O_2,309
DAGJED_0.12_0_w_CO2_H2O_3,309
DAGJED_0.12_0_w_CO2_H2O_4,309
DAGJED_0.12_0_w_CO2_H2O_5,309
BUVYIB_0.08_0_w_CO2_H2O_random_1,294
BUVYIB_0.08_0_w_CO2_H2O_random_2,294
COQGAS_0.08_0_w_CO2_H2O_random_1,342
COQGAS_0.08_0_w_CO2_H2O_random_2,342
DAGJED_0.12_0_w_CO2_H2O_random_1,309
DAGJED_0.12_0_w_CO2_H2O_random_2,309
BUVYIB_0.08_0_w_H2O_1,291
BUVYIB_0.08_0_w_H2O_2,291
BUVYIB_0.08_0_w_H2O_3,291
COQGAS_0.08_0_w_H2O_1,339
COQGAS_0.08_0_w_H2O_2,339
DAGJED_0.12_0_w_H2O_1,306
DAGJED_0.12_0_w_H2O_2,306
DAGJED_0.12_0_w_H2O_3,306
BUVYIB_0.08_0_w_H2O_random_2,291
COQGAS_0.08_0_w_H2O_random_1,339
COQGAS_0.08_0_w_H2O_random_2,339
DAGJED_0.12_0_w_H2O_random_1,306
DAGJED_0.12_0_w_H2O_random_2,306
AKUKUO_w_CO2_1,100
AKUKUO_w_CO2_2,100
AKUKUO_w_CO2_3,100
AKUKUO_w_CO2_4,100
CODRUJ_w_CO2_1,59
CODRUJ_w_CO2_2,59
CODRUJ_w_CO2_3,59
CODRUJ_w_CO2_4,59
AKUKUO_w_CO2_random_1,100
AKUKUO_w_CO2_random_2,100
CODRUJ_w_CO2_random_1,59
CODRUJ_w_CO2_random_2,59
AKUKUO_w_CO2_2H2O_1,106
AKUKUO_w_CO2_2H2O_2,106
AKUKUO_w_CO2_2H2O_3,106
AKUKUO_w_CO2_2H2O_4,106
CODRUJ_w_CO2_2H2O_1,65
CODRUJ_w_CO2_2H2O_2,65
CODRUJ_w_CO2_2H2O_3,65
CODRUJ_w_CO2_2H2O_4,65
CODRUJ_w_CO2_2H2O_5,65
AKUKUO_w_CO2_H2O_1,103
AKUKUO_w_CO2_H2O_2,103
AKUKUO_w_CO2_H2O_3,103
AKUKUO_w_CO2_H2O_4,103
AKUKUO_w_CO2_H2O_5,103
CODRUJ_w_CO2_H2O_1,62
CODRUJ_w_CO2_H2O_2,62
CODRUJ_w_CO2_H2O_3,62
CODRUJ_w_CO2_H2O_4,62
CODRUJ_w_CO2_H2O_5,62
AKUKUO_w_CO2_H2O_random_1,103
AKUKUO_w_CO2_H2O_random_2,103
CODRUJ_w_CO2_H2O_random_1,62
AKUKUO_w_H2O_1,100
AKUKUO_w_H2O_2,100
AKUKUO_w_H2O_3,100
CODRUJ_w_H2O_1,59
CODRUJ_w_H2O_2,59
CODRUJ_w_H2O_3,59
AKUKUO_w_H2O_random_1,100
AKUKUO_w_H2O_random_2,100
CODRUJ_w_H2O_random_1,59
CODRUJ_w_H2O_random_2,59
BELVEV_charged_0.16_1_w_CO2_2H2O_1,163
BELVEV_charged_0.16_1_w_CO2_2H2O_2,163
BELVEV_charged_0.16_1_w_CO2_2H2O_3,163
BELVEV_charged_0.16_1_w_CO2_2H2O_5,163
BELVEV_charged_0.16_1_w_CO2_2H2O_6,163
DEFKUU_0.12_0_w_CO2_2H2O_1,235
DEFKUU_0.12_0_w_CO2_2H2O_2,235
DEFKUU_0.12_0_w_CO2_2H2O_3,235
DEFKUU_0.12_0_w_CO2_2H2O_4,235
DEFKUU_0.12_0_w_CO2_2H2O_5,235
DEFKUU_0.12_0_w_CO2_2H2O_random_1,235
DEFKUU_0.12_0_w_CO2_2H2O_random_2,122
BELVEV_charged_0.16_1_w_CO2_1,157
BELVEV_charged_0.16_1_w_CO2_2,157
BELVEV_charged_0.16_1_w_CO2_3,157
DEFKUU_0.12_0_w_CO2_1,116
DEFKUU_0.12_0_w_CO2_2,116
DEFKUU_0.12_0_w_CO2_3,116
BELVEV_charged_0.16_1_w_CO2_random_1,157
BELVEV_charged_0.16_1_w_CO2_random_2,157
DEFKUU_0.12_0_w_CO2_random_1,116
DEFKUU_0.12_0_w_CO2_random_2,116
BELVEV_charged_0.16_1_w_CO2_H2O_2,160
BELVEV_charged_0.16_1_w_CO2_H2O_4,160
DEFKUU_0.12_0_w_CO2_H2O_1,232
DEFKUU_0.12_0_w_CO2_H2O_2,119
DEFKUU_0.12_0_w_CO2_H2O_3,119
DEFKUU_0.12_0_w_CO2_H2O_4,232
DEFKUU_0.12_0_w_CO2_H2O_5,119
BELVEV_charged_0.16_1_w_CO2_H2O_random_2,160
DEFKUU_0.12_0_w_CO2_H2O_random_1,119
DEFKUU_0.12_0_w_CO2_H2O_random_2,119
BELVEV_charged_0.16_1_w_H2O_1,157
BELVEV_charged_0.16_1_w_H2O_2,157
DEFKUU_0.12_0_w_H2O_1,116
DEFKUU_0.12_0_w_H2O_2,116
BELVEV_charged_0.16_1_w_H2O_random_1,157
BELVEV_charged_0.16_1_w_H2O_random_2,157
DEFKUU_0.12_0_w_H2O_random_1,116
DEFKUU_0.12_0_w_H2O_random_2,116
AVELOD_w_CO2_1,291
AVELOD_w_CO2_2,291
AVELOD_w_CO2_3,291
DIPMAS_w_CO2_1,81
DIPMAS_w_CO2_2,81
DIPMAS_w_CO2_3,81
